"No.","公開番号","案件の状態","発注方式","電入／紙入","工事番号","工事名","所属コード","所属名","工事場所","予定価格（税抜）","予定価格（税込）","公告（通知）日","開札予定日","更新日時","発注業種","発注業種２"
"1","163405","","随意契約","紙入札","平成２８年度　復旧　第６号－２","復旧治山事業設計業務","130490","有田振興局農林水産振興部","有田郡有田川町","","","","","2016/11/16 11:44","森林土木",""
"2","162738","","随意契約","紙入札","平成２８年度　道調　第１号","白浜久木線道路調査設計業務","130660","西牟婁振興局建設部","西牟婁郡白浜町","","","","","2016/09/16 15:12","道路",""
"3","162013","","随意契約","紙入札","平成２８年度　総交　第１号","近畿圏都市交通体系調査業務","081300","道路局　道路政策課","","","","","","2016/11/04 13:14","道路",""
"4","163207","","随意契約","紙入札","平成２８年度　県債　下水委　第１号－１","和歌山県流域下水道事業固定資産調査及び評価業務","081000","河川・下水道局　下水道課","","","","","","2016/11/04 13:35","下水道",""
"5","162733","","随意契約","紙入札","平成２８年度　京関調　第１号","京奈和関空連絡道路調査業務","081300","道路局　道路政策課","","","","","","2016/09/16 13:07","道路",""
"6","163569","○","一般競争入札","電子入札","平成２８年度　流下　第１１号－３","紀の川流域下水道伊都浄化センター沈砂地ポンプ棟耐震補強工事","130260","那賀振興局建設部","伊都郡かつらぎ町","1113000","1202040","2016/12/01","2016/12/13","2016/12/01 06:30","舗装工事",""
"7","163539","○","一般競争入札","電子入札","平成２８年度　防交金　第２０８号","左会津川河川整備物件調査業務","130660","西牟婁振興局建設部","田辺市","1670000","1803600","2016/12/01","2016/12/12","2016/12/01 06:31","営業・特殊補償",""
"8","163526","○","一般競争入札","電子入札","平成２８年度　防交金　第１１５号－３","芳養川河川整備工事","130660","西牟婁振興局建設部","田辺市","2177000","2351160","2016/12/01","2016/12/12","2016/12/01 06:31","舗装工事",""
"9","163592","○","一般競争入札","電子入札","平成２８年度　防交金　第１０４－３０号","春日川河川整備工事","130260","那賀振興局建設部","紀の川市","13487000","14565960","2016/12/01","2016/12/13","2016/12/01 06:30","土木一式工事",""
"10","163534","○","一般競争入札","電子入札","平成２８年度　舗補　第６号－２","国道３１１号舗装補修工事","130660","西牟婁振興局建設部","田辺市","16703000","18039240","2016/12/01","2016/12/12","2016/12/01 06:31","舗装工事",""
"11","163566","○","一般競争入札","電子入札","平成２８年度　道保交金　第９０４－７号－２","和歌山停車場線交付金道路保全外合併工事","130160","海草振興局建設部","和歌山市","3250000","3510000","2016/12/01","2016/12/13","2016/12/01 06:30","塗装工事",""
"12","163575","○","一般競争入札","電子入札","平成２８年度　道調　第２号","岩出野上線外道路調査業務","130260","那賀振興局建設部","岩出市","1050000","1134000","2016/12/01","2016/12/13","2016/12/01 06:30","測量一般",""
"13","163600","○","一般競争入札（総合評価）","電子入札","平成２８年度　道改交金　第９号－１０","国道３７１号　道路改良工事","130360","伊都振興局建設部","橋本市","15944000","17219520","2016/12/01","2016/12/20","2016/12/01 06:30","土木一式工事",""
"14","163585","○","一般競争入札","電子入札","平成２８年度　道改交金　第６号－５","国道３７０号道路改良工事","130160","海南工事事務所","海草郡紀美野町","13772000","14873760","2016/12/01","2016/12/13","2016/12/01 06:30","舗装工事",""
"15","163594","○","一般競争入札","電子入札","平成２８年度　道改交金　第２号－８","国道３７０号　道路改良工事","130360","伊都振興局建設部","伊都郡九度山町","17166000","18539280","2016/12/01","2016/12/13","2016/12/01 06:30","土木一式工事",""
"16","163525","○","一般競争入札","電子入札","平成２８年度　道改交金　第１１７号－８","海南金屋線道路改良外合併工事","130160","海南工事事務所","海南市","7537000","8139960","2016/12/01","2016/12/13","2016/12/01 06:30","土木一式工事",""
"17","163557","○","一般競争入札","電子入札","平成２８年度　道維修　第７号－１６","潮岬周遊線道路維持修繕工事","130760","東牟婁振興局串本建設部","東牟婁郡串本町","2765000","2986200","2016/12/01","2016/12/13","2016/12/01 06:31","とび・土工・コンクリート工事",""
"18","163536","○","一般競争入札","電子入札","平成２８年度　道維修　第６号－５７","国道３１１号外道路維持修繕工事","130660","西牟婁振興局建設部","西牟婁郡上富田町","8296000","8959680","2016/12/01","2016/12/12","2016/12/01 06:31","土木一式工事",""
"19","163537","○","一般競争入札","電子入札","平成２８年度　道維修　第６号－５６","田辺龍神線道路維持修繕工事","130660","西牟婁振興局建設部","田辺市","2830000","3056400","2016/12/01","2016/12/12","2016/12/01 06:31","とび・土工・コンクリート工事",""
"20","163535","○","一般競争入札","電子入札","平成２８年度　道維修　第６号－５５","国道３１１号道路維持修繕工事","130660","西牟婁振興局建設部","田辺市","1997000","2156760","2016/12/01","2016/12/12","2016/12/01 06:31","とび・土工・コンクリート工事",""
"21","163538","○","一般競争入札","電子入札","平成２８年度　道維修　第６号－５３","田辺龍神線道路維持修繕工事","130660","西牟婁振興局建設部","田辺市","2612000","2820960","2016/12/01","2016/12/12","2016/12/01 06:31","とび・土工・コンクリート工事",""
"22","163546","○","一般競争入札","電子入札","平成２８年度　道維修　第５号－６６","国道４２４号（外）道路維持修繕（単価契約）工事","130560","日高振興局建設部","日高郡みなべ町","2924000","3157920","2016/12/01","2016/12/13","2016/12/01 06:31","土木一式工事",""
"23","163598","○","一般競争入札","電子入札","平成２８年度　道維修　第３号－４１","国道３７１号外　単価契約工事","130360","伊都振興局建設部","伊都郡高野町","9644000","10415520","2016/12/01","2016/12/13","2016/12/01 06:30","土木一式工事",""
"24","163597","○","一般競争入札","電子入札","平成２８年度　道維修　第３号－４０","国道４８０号外　単価契約工事","130360","伊都振興局建設部","伊都郡かつらぎ町","9549000","10312920","2016/12/01","2016/12/13","2016/12/01 06:30","土木一式工事",""
"25","163596","○","一般競争入札","電子入札","平成２８年度　道維修　第３号－３９","国道３７１号外　単価契約工事","130360","伊都振興局建設部","橋本市","9957000","10753560","2016/12/01","2016/12/13","2016/12/01 06:30","土木一式工事",""
"26","163595","○","一般競争入札","電子入札","平成２８年度　地特　第４号","山田御幸辻停車場線　地方特定道路整備工事","130360","伊都振興局建設部","橋本市","17797000","19220760","2016/12/01","2016/12/13","2016/12/01 06:30","土木一式工事",""
"27","163532","○","一般競争入札","電子入札","平成２８年度　地特　第２３号－３","広川川辺線地方特定道路整備工事","130460","有田振興局建設部","有田郡広川町","364000","393120","2016/12/01","2016/12/14","2016/12/01 06:30","塗装工事",""
"28","163531","○","一般競争入札","電子入札","平成２８年度　地特　第２３号－２","広川川辺線地方特定道路整備工事","130460","有田振興局建設部","有田郡広川町","4756000","5136480","2016/12/01","2016/12/14","2016/12/01 06:30","舗装工事",""
"29","163589","○","一般競争入札","電子入札","平成２８年度　地特　第１１号－６","泉佐野岩出線外１線地方特定道路整備建物等調査再算定業務","130260","那賀振興局建設部","岩出市","910000","982800","2016/12/01","2016/12/13","2016/12/01 06:30","物件",""
"30","163524","○","一般競争入札","電子入札","平成２８年度　地すべり　第８号－３","吉原田原地区水抜きボーリング（B-4-2・B-4-3ブロック）工事","130390","伊都振興局農林水産振興部","橋本市","9309000","10053720","2016/12/01","2016/12/13","2016/12/01 06:30","さく井工事",""
"31","163567","○","一般競争入札","電子入札","平成２８年度　小土砂　第７号","冬野（６）地区小規模土砂災害対策工事","130160","海草振興局建設部","和歌山市","6680000","7214400","2016/12/01","2016/12/13","2016/12/01 06:30","土木一式工事",""
"32","163553","○","一般競争入札","電子入札","平成２８年度　小土砂　第５４号","鬮野川地区小規模土砂災害対策外合併工事","130760","東牟婁振興局串本建設部","東牟婁郡串本町","6359000","6867720","2016/12/01","2016/12/13","2016/12/01 06:31","土木一式工事",""
"33","163601","○","一般競争入札","電子入札","平成２８年度　小土砂　第２９号","和佐上和佐１地区小規模土砂災害対策工事","130560","日高振興局建設部","日高郡日高川町","2936000","3170880","2016/12/01","2016/12/13","2016/12/01 06:31","土木一式工事",""
"34","163577","○","一般競争入札","電子入札","平成２８年度　自環交　第１号－３","潮岬園地　潮岬防護柵改修工事","130790","東牟婁振興局農林水産振興部","東牟婁郡串本町","1977000","2135160","2016/12/01","2016/12/12","2016/12/01 06:31","造園工事",""
"35","163581","○","一般競争入札","電子入札","平成２８年度　国交建住　第５号－１","県営住宅日置団地駐車場整備工事","130660","西牟婁振興局建設部","西牟婁郡白浜町","4860000","5248800","2016/12/01","2016/12/12","2016/12/01 06:31","建築一式工事",""
"36","163590","○","一般競争入札","電子入札","平成２８年度　広域　第２－１号－１","紀の里地区道路維持工事","130260","那賀振興局建設部","紀の川市","1463000","1580040","2016/12/01","2016/12/13","2016/12/01 06:30","土木一式工事",""
"37","163599","○","一般競争入札","電子入札","平成２８年度　広域　第１号－７","紀の川左岸地区　橋本工区道路維持工事（単価契約）","130360","伊都振興局建設部","橋本市","1061000","1145880","2016/12/01","2016/12/13","2016/12/01 06:30","土木一式工事",""
"38","163562","○","一般競争入札","電子入札","平成２８年度　公共街路　第３号","南港山東線道路改良測量業務","130160","海草振興局建設部","和歌山市","9070000","9795600","2016/12/01","2016/12/13","2016/12/01 06:30","測量一般",""
"39","163545","○","一般競争入札","電子入札","平成２８年度　交安交金　第５０４－５号－４","御坊由良線交付金交通安全補償再算定業務","130560","日高振興局建設部","御坊市","2350000","2538000","2016/12/01","2016/12/13","2016/12/01 06:30","機械工作物",""
"40","163584","○","一般競争入札","電子入札","平成２８年度　交安交金　第４０５－５号－３","御坊湯浅線交付金交通安全用地調査業務","130460","有田振興局建設部","有田郡広川町","2560000","2764800","2016/12/01","2016/12/14","2016/12/01 06:30","物件",""
"41","163591","○","一般競争入札","電子入札","平成２８年度　交安交金　第２０６－５号－３","粉河那賀線交付金交通安全建物等調査業務","130260","那賀振興局建設部","紀の川市","3430000","3704400","2016/12/01","2016/12/13","2016/12/01 06:30","営業・特殊補償",""
"42","163582","○","一般競争入札","電子入札","平成２８年度　交安交金　第２０１－５号－２","国道424号交付金交通安全建物等調査再算定業務","130260","那賀振興局建設部","紀の川市","590000","637200","2016/12/01","2016/12/13","2016/12/01 06:30","物件",""
"43","163561","○","一般競争入札","電子入札","平成２８年度　交安交金　第２０１－５号","国道424号交付金交通安全工事","130260","那賀振興局建設部","紀の川市","5162000","5574960","2016/12/01","2016/12/13","2016/12/01 06:30","土木一式工事",""
